run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,random_seed,test_loss,test_accuracy
ngc-22.06,1.5.0,2022-11-10 02:15:20.326996,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2628917891,0.35173043608665466,0.8659999966621399
ngc-22.06,1.5.0,2022-11-10 02:16:59.286549,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1970651642,0.34633007645606995,0.8679599761962891
ngc-22.06,1.5.0,2022-11-10 02:18:38.150048,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2144639512,0.3634352385997772,0.8540800213813782
ngc-22.06,1.5.0,2022-11-10 02:20:17.149460,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3280018774,0.39167293906211853,0.8567600250244141
ngc-22.06,1.5.0,2022-11-10 02:21:56.467259,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2899363963,0.32435134053230286,0.865559995174408
ngc-22.06,1.5.0,2022-11-10 02:23:35.357046,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3379977681,0.3587217628955841,0.8640000224113464
ngc-22.06,1.5.0,2022-11-10 02:25:14.468363,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1799053243,0.3420342206954956,0.8422799706459045
ngc-22.06,1.5.0,2022-11-10 02:26:54.032822,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2273376584,0.3359447717666626,0.8635200262069702
ngc-22.06,1.5.0,2022-11-10 02:28:32.137107,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,919797571,0.33350881934165955,0.8630800247192383
ngc-22.06,1.5.0,2022-11-10 02:30:10.107089,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3567176185,0.3317161798477173,0.8621600270271301
ngc-22.06,1.5.0,2022-11-10 02:31:50.012530,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2947321050,0.3953872323036194,0.8350399732589722
ngc-22.06,1.5.0,2022-11-10 02:33:28.531682,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1842380535,0.3727973699569702,0.8629199862480164
ngc-22.06,1.5.0,2022-11-10 02:35:10.054709,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2424234451,0.37714144587516785,0.8524399995803833
