run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,random_seed,test_loss,test_accuracy
ngc-22.06,1.5.0,2022-11-11 18:05:51.587286,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2628917891,0.3781885802745819,0.8576400279998779
ngc-22.06,1.5.0,2022-11-11 18:19:59.201984,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1970651642,0.3596428632736206,0.8614799976348877
ngc-22.06,1.5.0,2022-11-11 18:34:10.498546,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2144639512,0.35189089179039,0.8520799875259399
ngc-22.06,1.5.0,2022-11-11 18:48:19.629940,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3280018774,0.3303690254688263,0.855400025844574
ngc-22.06,1.5.0,2022-11-11 19:02:23.274851,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2899363963,0.3274008333683014,0.8626000285148621
ngc-22.06,1.5.0,2022-11-11 19:16:37.846264,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3379977681,0.4497084617614746,0.8130800127983093
ngc-22.06,1.5.0,2022-11-11 19:30:40.019811,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1799053243,0.32281598448753357,0.8669999837875366
ngc-22.06,1.5.0,2022-11-11 19:44:50.575486,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2273376584,0.33200085163116455,0.8615999817848206
ngc-22.06,1.5.0,2022-11-11 19:58:59.303000,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,919797571,0.4180460274219513,0.8448399901390076
ngc-22.06,1.5.0,2022-11-11 20:13:09.619416,"3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3567176185,0.5361852049827576,0.7407199740409851
