run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,random_seed,test_loss,test_accuracy
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 17:33:42.378627,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,2628917891,0.4105972647666931,0.8532400131225586
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 17:55:37.061944,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,1970651642,0.35368672013282776,0.8694000244140625
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 18:17:29.517461,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,2144639512,0.352211058139801,0.8659600019454956
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 18:33:25.999292,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,3280018774,0.3278557062149048,0.8671200275421143
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 18:55:15.768466,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,2899363963,0.33325105905532837,0.8641999959945679
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 19:13:40.891344,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,3379977681,0.3637086749076843,0.8671600222587585
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 19:26:08.245347,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,1799053243,0.33972686529159546,0.8610399961471558
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 19:39:34.959706,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,2273376584,0.356648325920105,0.8525199890136719
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 19:56:14.719888,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,919797571,0.3334771990776062,0.8611199855804443
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 20:12:22.982986,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,3567176185,0.32335472106933594,0.8672000169754028
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 20:27:52.453880,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,2947321050,0.34302327036857605,0.8652799725532532
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 20:45:02.040672,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,1842380535,0.3418651819229126,0.8572400212287903
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 21:00:11.752272,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,2424234451,0.37687817215919495,0.8311200141906738
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 21:13:59.344961,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,3826946424,0.3595019578933716,0.8626000285148621
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 21:25:28.532456,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,4128608742,0.3602119982242584,0.8583999872207642
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 21:35:22.460452,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,2141955573,0.35919317603111267,0.8518800139427185
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 21:45:22.023982,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,564285217,0.33221501111984253,0.8677600026130676
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 21:55:09.129485,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,1241469302,0.4338349997997284,0.8096799850463867
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 22:04:39.120051,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,3670865299,0.35898101329803467,0.8637999892234802
tensorflow_2.8.3-gpu-cuda11.3-cudnn8.2,1.5.2,2022-12-16 22:13:20.325076,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.8.3,7.3.1 20180303,2,653156764,0.42580920457839966,0.8426399827003479
