run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,random_seed,test_loss,test_accuracy
ngc-22.09,1.5.1,2022-11-08 21:26:07.646964,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2628917891,0.501247227191925,0.8331999778747559
ngc-22.09,1.5.1,2022-11-08 21:27:27.607724,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1970651642,0.36575669050216675,0.8639600276947021
ngc-22.09,1.5.1,2022-11-08 21:28:42.982286,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2144639512,0.3479139804840088,0.868120014667511
ngc-22.09,1.5.1,2022-11-08 21:29:58.725606,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3280018774,0.32707443833351135,0.861519992351532
ngc-22.09,1.5.1,2022-11-08 21:31:14.322780,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2899363963,0.3429323434829712,0.8646799921989441
ngc-22.09,1.5.1,2022-11-08 21:32:33.381415,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3379977681,0.32352641224861145,0.865559995174408
ngc-22.09,1.5.1,2022-11-08 21:33:49.751656,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1799053243,0.3397971987724304,0.855679988861084
ngc-22.09,1.5.1,2022-11-08 21:35:05.624215,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2273376584,0.33089807629585266,0.8581200242042542
ngc-22.09,1.5.1,2022-11-08 21:36:21.732561,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,919797571,0.33063364028930664,0.864359974861145
ngc-22.09,1.5.1,2022-11-08 21:37:37.258442,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3567176185,0.3265145421028137,0.8677600026130676
ngc-22.09,1.5.1,2022-11-08 21:38:52.804675,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2947321050,0.32199305295944214,0.8674399852752686
ngc-22.09,1.5.1,2022-11-08 21:40:08.456613,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1842380535,0.33344244956970215,0.8679999709129333
ngc-22.09,1.5.1,2022-11-08 21:41:24.189423,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2424234451,0.3336707353591919,0.8635600209236145
ngc-22.09,1.5.1,2022-11-08 21:42:39.614659,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3826946424,0.3473704159259796,0.861240029335022
ngc-22.09,1.5.1,2022-11-08 21:43:55.217454,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,4128608742,0.350374698638916,0.8575999736785889
ngc-22.09,1.5.1,2022-11-08 21:45:10.729619,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2141955573,0.32651636004447937,0.8668799996376038
ngc-22.09,1.5.1,2022-11-08 21:46:26.249729,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,564285217,0.3121328055858612,0.869920015335083
ngc-22.09,1.5.1,2022-11-08 21:47:41.733929,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1241469302,0.358432799577713,0.864359974861145
ngc-22.09,1.5.1,2022-11-08 21:48:57.461446,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3670865299,0.3761759102344513,0.8296800255775452
ngc-22.09,1.5.1,2022-11-08 21:50:14.346783,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,653156764,0.3512166738510132,0.8507199883460999
ngc-22.09,1.5.1,2022-11-08 21:51:29.928002,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,670351107,0.3311898708343506,0.865119993686676
ngc-22.09,1.5.1,2022-11-08 21:52:46.345179,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,1202829223,0.3977165222167969,0.8370000123977661
ngc-22.09,1.5.1,2022-11-08 21:54:01.954970,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2734688537,0.3164938688278198,0.8671600222587585
ngc-22.09,1.5.1,2022-11-08 21:55:17.068194,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3685862192,0.37393975257873535,0.8543599843978882
ngc-22.09,1.5.1,2022-11-08 21:56:32.530720,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,303833536,0.3724077641963959,0.8519600033760071
ngc-22.09,1.5.1,2022-11-08 21:57:48.473698,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,3712952546,0.33848899602890015,0.8574000000953674
ngc-22.09,1.5.1,2022-11-08 21:59:04.524454,"3.8.10 (default, Jun 22 2022, 20:18:18) [GCC 9.4.0]",2.9.1,9.3.1 20200408,2,2356433740,0.3881339132785797,0.8349599838256836
