run_name,script_version,date_time,python_version,tensorflow_version,tensorflow_compiler_version,epochs,random_seed,test_loss,test_accuracy
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:14:42.868636,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.38565027713775635,0.8755999803543091
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:16:51.400603,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.47457918524742126,0.8669999837875366
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:18:58.781731,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.38507673144340515,0.8715999722480774
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:21:46.363770,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4931211769580841,0.8503999710083008
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:23:56.112153,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.3992757499217987,0.8687999844551086
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:26:00.904255,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4161977469921112,0.8694000244140625
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:28:03.159267,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.40185311436653137,0.8618000149726868
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:30:03.224651,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.41444921493530273,0.8547999858856201
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:32:05.421968,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.42430058121681213,0.8633999824523926
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:34:09.000608,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.37036585807800293,0.8694000244140625
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:36:09.152339,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.3570740222930908,0.875
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:38:16.791970,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.46736952662467957,0.8574000000953674
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:40:24.180346,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.37317806482315063,0.8677999973297119
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:42:26.766339,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.3478165864944458,0.8690000176429749
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:44:33.231419,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.40657374262809753,0.8745999932289124
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:46:47.509118,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4277229607105255,0.8687999844551086
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:48:55.237550,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.45332178473472595,0.8673999905586243
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:51:03.066453,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.443448543548584,0.8597999811172485
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:53:09.904279,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.3911426365375519,0.870199978351593
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:55:08.631590,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.42396578192710876,0.8664000034332275
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:57:06.198773,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.5459247827529907,0.8507999777793884
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 06:59:01.012777,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.46512117981910706,0.859000027179718
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:01:05.618341,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.3774004280567169,0.8737999796867371
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:03:07.192004,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.5503716468811035,0.8435999751091003
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:05:00.406085,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.42847681045532227,0.868399977684021
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:06:59.542679,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.46596094965934753,0.8610000014305115
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:08:55.232063,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.39506828784942627,0.8744000196456909
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:10:39.103452,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4274432957172394,0.8691999912261963
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:12:08.134366,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4398251473903656,0.8679999709129333
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:14:09.197772,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.40562689304351807,0.870199978351593
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:16:11.111579,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.45927539467811584,0.8640000224113464
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:18:18.799193,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.39129766821861267,0.871399998664856
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:20:13.975022,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4564052224159241,0.8560000061988831
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:22:13.271898,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.41189247369766235,0.8659999966621399
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:24:15.851792,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4997425377368927,0.8583999872207642
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:26:20.572749,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4398568868637085,0.8532000184059143
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:28:26.395270,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4499606490135193,0.8679999709129333
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:30:35.759668,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.5534197092056274,0.8492000102996826
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:32:43.208113,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.41760990023612976,0.8730000257492065
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:34:47.936751,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.33329206705093384,0.8791999816894531
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:36:53.455638,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4426128566265106,0.8673999905586243
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:38:58.431627,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.39541250467300415,0.8762000203132629
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:41:03.413015,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4349314570426941,0.8668000102043152
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:43:01.186533,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.41404107213020325,0.8654000163078308
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:45:03.096471,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.44538480043411255,0.8474000096321106
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:46:55.977306,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.3827296197414398,0.8736000061035156
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:48:51.622696,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.5985907912254333,0.8411999940872192
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:50:46.909314,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.41921287775039673,0.8679999709129333
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:52:43.158660,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.47578540444374084,0.8668000102043152
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:54:36.125078,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4020334482192993,0.8723999857902527
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:56:31.383537,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.4665123522281647,0.8605999946594238
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 07:58:27.953394,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.41080737113952637,0.866599977016449
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 08:00:22.401341,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.39674314856529236,0.866599977016449
tensorflow_2.8.0-gpu,1.0.0,2023-01-05 08:02:17.705351,"3.8.10 (default, Nov 26 2021, 20:14:08) [GCC 9.3.0]",2.8.0,7.3.1 20180303,3,random,0.43455371260643005,0.8575999736785889
